timestamp,device,event,detail
1721200190.1362772,mouse,move,"(369, 498)"
1721200190.138271,mouse,move,"(368, 499)"
1721200190.1402664,mouse,move,"(367, 500)"
1721200190.1417658,mouse,move,"(366, 501)"
1721200190.1437669,mouse,move,"(365, 502)"
1721200190.1457615,mouse,move,"(364, 503)"
1721200190.147756,mouse,move,"(363, 504)"
1721200190.149751,mouse,move,"(362, 506)"
1721200190.1522696,mouse,move,"(361, 507)"
1721200190.1542675,mouse,move,"(360, 508)"
1721200190.1562624,mouse,move,"(359, 509)"
1721200190.1765928,mouse,move,"(358, 510)"
1721200190.17762,mouse,move,"(348, 521)"
1721200190.1785877,mouse,move,"(347, 522)"
1721200190.1795845,mouse,move,"(346, 523)"
1721200190.183354,mouse,move,"(345, 524)"
1721200190.1843512,mouse,move,"(344, 525)"
1721200190.1863456,mouse,move,"(343, 526)"
